id,job_title,description,salary,requirements,benefits,location,business_name
10,Teach English in the Centre of Europe,"Join our dynamic team and teach English at one of our trusted partner schools in Poland! We’ve visited these schools and can confidently say they offer a welcoming, focused, and passionate environment for teachers and students alike. Whether you’re an experienced educator or just starting your teaching journey, we’re excited to connect you with this incredible opportunity.-
-
-
-
-
-
-What does our - fee get you?-
- A safe and legal placement at a trusted and vetted school in Poland-
- Assistance in obtaining a type – D visa-
- Priceless online and in person training sessions where we’re joined by alumni members who have been there and done it-
- In country support from our team who have all lived and taught abroad before",$1000- $2200 Per Month,"Native Level English Speaker
-
University degree (any subject) – final year students may also apply
-
Clean background check
-
TEFL Level 5","- Competative salary 
-
- A safe and legal placement at a trusted and vetted school in Poland
-
- Assistance in obtaining a type – D visa
-
- Priceless online and in person training sessions where we’re joined by alumni members who have been there and done it
-
- In country support from our team who have all lived and taught abroad before","Poland > Warsaw, Krakow, Lodz, Gdansk",Impact Teaching
11,Enthusiastic English Teachers Needed!,"We, Echo Education, are a professional institute in Hangzhou, China, founded in 2007. We are certified by Chinese government for hiring foreign teachers to work legally in China and dispatch them to all over mainland. And so far we have successfully dispatched hundreds of foreign teachers to work all over China.-
-
1) School Information:-
",14500-22500 RMB negotiatable,"- Bachelor degree or above (must)
-
- TEFL level 5
-
- Clean criminal background
-
- A team player with excellent communication skill","- A reputable teaching experience in China
-
- Housing allowance or free housing depending on school
-
- 7x24 hours living and teaching support in China without even knowing any Chinese
-
- Flight allowance
-
- Free Medical check
-
- Health insurance: available in whole contract duration
-
- Legal working visa provided
-
- Legal visa application for accompanied family members
-
- Free Foreign Expert Certificate & Residence Permit provided
-
- Paid Chinese national holidays
-
- Startup assistance (bank account, cell phone, etc.)
-
- Genuine opportunity for progression
-
- Opportunity of exciting challenges
-
- Job security","China > Zhejiang province, Jiangsu province and Shanghai",Echo Education
12,Teach English Online with Preply,"Preply is a global marketplace for online language learning, connecting learners and teachers. They are constantly looking for dedicated, enthusiastic, and passionate online tutors to help students achieve their language learning goals.-
-
Join a fast-growing community of over 800,000 students all over the world!-
Work from wherever you are, at your own schedule... No more time wasted commuting, adjusting to other people's schedules or being managed by others. At Preply, you will be your own boss.-
-
How to apply:-
-
Once registered, the Preply team will evaluate your profile and activate it within 3 working days. As easy as that!-
Afterwards you’ll need to complete a quick onboarding module to set your profile to visible.-
-
What will you do:-
",Up to $30USD/£35US/ 465 ZAR/€30 per hour,"- Proficiency/Native in English
-
- University degree (any subject)
-
- Level 5 TEFL Certificate 
-
- Be energetic, patient, responsible and cheerful 
-
- Create your own lesson plans or use Preply’s curriculum for your lessons with your students.
-
- Have a high-speed internet connection","- You set the price! Choose your hourly rate 
-
- Teach at your own schedule, from wherever you are
-
- Access to over 800,000 students from all over the world
-
- Get tutor support from Preply’s Customer Service
-
- Access to Tutor’s performance hub: check your performance, payment integration, Google Calendar synchronisation, training webinars, courses, and so much more!",United States of America > Online,Preply
13,Volunteer English Teacher,"As a Volunteer English Teacher, you’ll:-
-
This role is a fantastic opportunity to gain teaching experience, develop your communication skills, and contribute to the community.",Voluntary,"- Proficiency in English: Strong command of both spoken and written English
-
- Passion for Teaching: Enthusiasm for helping others learn and grow
-
- Commitment: Availability for 2 lessons per week (1 hour each) for 3 months
-
- Communication Skills: Ability to connect with and engage students
-
- Reliability: Punctuality and consistency in attending scheduled lessons
-
- Internet Access : A stable internet connection and a quiet, distraction-free environment for teaching
-
- TEFL level 3","- Gain Valuable Experience: Develop teaching, leadership, and communication skills
-
- Make an Impact: Help learners improve their English and unlock new opportunities
-
- Cultural Exchange: Engage with students from diverse backgrounds and broaden your perspectives
-
- Flexible Schedule: Teach just 2 hours per week, making it easy to fit into your routine
-
- Community Contribution: Be part of a meaningful initiative that supports education and growth
-
- Personal Growth: Build confidence, empathy, and the ability to inspire others.",Georgia > Kutaisi,A+ Academy
14,Teach English in South Korea with EPIK,"South Korea’s public schools are looking for passionate and motivated teachers to join the -! As an official recruitment partner, TEFL Careers is here to guide you through the application process and help you start your teaching adventure in Korea.-
-
This is more than just a teaching job—it’s a - where you'll make a real impact in the classroom while exploring the rich culture, delicious cuisine, and vibrant cities of Korea. Plus, you won’t be doing it alone! Your journey begins with a -, ensuring you're well-prepared for both teaching and life in Korea.-
-
As an EPIK teacher, you’ll work in a -, assisting local teachers, leading English classes, and helping students build confidence in speaking, reading, writing, and listening. This program is perfect for those who are enthusiastic about education and excited to embrace a new cultural experience.",KRW 2.05 – 2.8 million per month (based on experience),"To qualify for EPIK, you must meet the following requirements:
-
- Have a passport from on of the following countries due to visa requirements (USA, Canada, UK, Ireland, Australia, New Zealand, or South Africa)
-
- Hold a Bachelor’s degree in any field
-
- Have a TEFL certification OR a teaching license
-
- Have a clear criminal record
-
- Be open to living and working in any public school placement throughout Korea
-
-
This is a highly competitive program, so apply early to secure your spot! The main intake periods are February and August.
-
Ready to teach and explore Korea? Apply now!","-  Competitive Salary: KRW 2.05 – 2.8 million per month (based on experience)
-
- Flight Allowances: KRW 1.8 million entrance allowance + KRW 1.3 million exit allowance upon contract completion
-
- Settlement Allowance: KRW 3 million to help you get started
-
- Free, Fully Furnished Accommodation: No need to worry about housing costs!
-
- Severance Pay: Equivalent to one month’s salary upon contract completion
-
- Medical Insurance: 50% of the premium covered by the employer
-
- Generous Vacation: 26 paid vacation days + national holidays
-
- Full Training & Orientation: Prepares you for both teaching and adjusting to life in Korea
-
- 12-Month Contract: A full year to teach, explore, and grow",South Korea > Multiple locations!,TEFL Careers
15,Great Positions Nationwide in Korea,"
-
-
-
At ESL Teaching Jobs, we take immense pride in our unwavering dedication to connecting educators with vibrant teaching opportunities in South Korea. With a track record of over 500 teachers successfully placed and more than five years of unblemished success, we’ve established ourselves as a trusted leader in the realm of ESL education.-
-
Our mission is clear: to serve as the gateway for educators, providing them with the access required to commence their fulfilling journey in English teaching. We are more than just a placement service; we are a platform that fosters growth and enriches the ESL community.-
-
Job Details:-
-
Locations Include:-
-
-
-
",Negotiable,"- Background Check Apostilled
-
- Degree Apostilled
-
- Native level English Teachers
-
- TEFL level 5","- Airfare 
-
- Housing
-
- Severance
-
- Training",South Korea > Busan,ESL Teaching jobs in aisa
16,Teach in Japan as an Assistant Language Teacher (ALT),"Our ALTs (Assistant Language Teachers) are a part of elementary, junior high, and high school communities all across Japan.-
-
In your schools, you’ll work with Japanese teachers to facilitate smooth presentation of the school’s assigned English curriculum. This may include preparing worksheets, model pronunciation and reading, demonstration of target language dialogs and similar tasks.-
-
In addition, ALTs are commonly asked to review and comment on students’ homework notebooks and other written work, as well as conducting one-to-one or small group progress assessments.-
-
But the heart of the ALT position is so much more – aside from just being a language instructor you are also a cultural ambassador. Sharing your own background and culture becomes a canvas for using English and gives meaning to what your students are studying.-
-
“ALT” is a title coined by the Japanese Ministry of Education, Culture, Sports, Science and Technology (MEXT) to describe native-level speakers of English working in Japanese classrooms. As an Interac ALT, you are not a member of the schools’ staff but an employee of Interac, and therefore, you work under the guidance of Interac.","$17,200 – $21,500 Per Year","- Be a native-level speaker of English
-
- Have received an education conducted in English for at least 12 years
-
- Have at least a bachelor’s degree in any subject from an accredited university
-
- Be a team-player that is professional, flexible, cheerful, and energetic
-
- Be under 60 years of age
-
- TEFL level 5
-
- Drivers license (preferred)","- Competitive Salary of $17,200 – $21,500 Per Year
-
- Commuting expenses reimbursed (except for flights)
-
- Paid national holidays and leave
-
- Training and orientation
-
- Apartment will we arranged on your behalf as close as possible to your teaching location
-
- Career skill development opportunities
-
- Support and guidance in setting up insurance and visa
-
- Opportunity to build your resume with valuable teaching experience",Japan > Multiple locations,Interac Network
17,Teach and Travel in Thailand 2025 - Your Journey Begins Here!,"MediaKids Academy is looking for full-time teachers for the 'English for Communication Development' program.-
-
This teaching opportunity offers you a chance to gain valuable teaching experience in various locations across Thailand, from kindergarten to high school.-
-
Once you accept the job offer, you will receive comprehensive support with obtaining a non-B teaching visa, opening a Thai bank account, and arranging accommodation. You’ll benefit from in-country training and orientation on both teaching and living in Thailand, along with ongoing assistance to ensure a smooth transition.-
-
Teachers are expected to teach an average of twenty hours per week, with a maximum of 24 hours. The school will provide teaching materials and curricula to help you navigate the semester, allowing you to focus on creating fun and engaging lessons.-
-
As a teacher you will be required to:-
","Competitive salary: 33,000 - 37,000 THB","- Proficient in English
-
- Bachelor's degree from an accredited university
-
- TEFL level 5
-
- Age: 21-50
-
- Positive attitude, passion for teaching, and a desire to immerse in Thai culture","- Competitive salary: 33,000 - 37,000 THB
-
- 3,000 THB accommodation allowance
-
- Support from an experienced international team
-
- Reimbursement for Non-B work visa: 3,000 THB
-
- Free Work Permit
-
- Hassle-free paperwork
-
- Free accident insurance
-
- Paid Thai public holidays
-
- Full curriculum and textbooks provided",Thailand > Multiple locations,MediaKids Academy
18,Online English Teacher (Home-based),"Native Camp is Japan’s No.1 Online English Service counting the highest number of both teachers and students who are learning the English language through our platform. Since 2017, we have started hiring teachers from all around the world, and we have created an environment that makes it easy for them to work and earn while having full flexibility.-
-
We are continuously expanding, introducing new features and teaching materials, and as a result of these efforts, more than 1.3 million members are using our service. Lessons are provided via a unique language platform developed by our company. We have simplified our application process and made it as quick as possible, so joining our team of teachers has never been easier. Join us today to experience the benefits that we provide.",Different base-rates according to your English proficiency and tutor rank,"- English Proficiency
-
- TEFL level 3
 -
- Laptop or PC with a webcam
-
- Headset with a microphone
-
- Stable Internet connection and speed
-
- Quiet environment and plain background","- Complete flexibility (24/7)
-
- 100% remote
-
- Easy-to-follow teaching materials provided
-
- No minimum hours per week required
-
- Frequent incentives offered
-
- Online support available",Japan > Anywhere,Native Camp
19,Teachers needed in Indonesia,"We are on the lookout for talented ESL teachers who are ready to inspire and empower our students in a fun, supportive, and inclusive environment.-
-
-
-
-
-
-
-
If you’re excited about the prospect of joining our team and bringing your expertise to our students, we encourage you to apply today! We have centers in Jakarta and its surrounding areas.",Competitive salary,"- A passion for teaching and a positive outlook
-
- A Bachelor's degree
-
- TEFL level 5 certification
-
- Computer literacy","- Competitive salary
-
- Arrival support, including airport pickup and housing allowance
-
- Visa assistance and flight reimbursement
-
- Training and end-of-contract bonuses
-
- A vibrant, inclusive community of teachers and learners",Indonesia > Jakarta,Wall Street English Indonesia
